model_name,fold,epoch,train_loss,train_acc,val_loss,val_acc,lr
convnext_tiny.fb_in22k_ft_in1k,0,1,1.9096121446428629,0.4842672413793103,0.8293284290412377,0.8763362068965517,0.00019848077530122083
convnext_tiny.fb_in22k_ft_in1k,0,2,0.6983798338832526,0.9157543103448276,0.5143672668933869,0.9764655172413793,0.00019396926207859087
convnext_tiny.fb_in22k_ft_in1k,0,3,0.5030440031043414,0.973771551724138,0.44645886639068866,0.9848706896551724,0.0001866025403784439
convnext_tiny.fb_in22k_ft_in1k,0,4,0.44044889435685913,0.9842456896551725,0.39778893113136293,0.9955603448275862,0.0001766044443118978
convnext_tiny.fb_in22k_ft_in1k,0,5,0.4130954998731613,0.9895043103448276,0.38521593439167945,0.9967672413793104,0.00016427876096865394
convnext_tiny.fb_in22k_ft_in1k,0,6,0.3967102239871847,0.9923922413793104,0.3986091232710871,0.9917672413793104,0.00015000000000000001
convnext_tiny.fb_in22k_ft_in1k,0,7,0.3864970664525854,0.9939224137931034,0.36693976990107835,0.9990517241379311,0.0001342020143325669
convnext_tiny.fb_in22k_ft_in1k,0,8,0.37627182179483876,0.995646551724138,0.36189067038996464,0.9995258620689655,0.00011736481776669306
convnext_tiny.fb_in22k_ft_in1k,0,9,0.37119688387574823,0.9966810344827586,0.3633070372713023,0.9985775862068965,0.0001
convnext_tiny.fb_in22k_ft_in1k,0,10,0.36875562217728847,0.9970689655172413,0.37198770210660737,0.9957758620689655,8.263518223330697e-05
convnext_tiny.fb_in22k_ft_in1k,0,11,0.36280792039016196,0.9985560344827586,0.356579368278898,1.0,6.579798566743316e-05
convnext_tiny.fb_in22k_ft_in1k,0,12,0.3611525809764862,0.9985344827586207,0.356798042141158,0.9998275862068966,5.000000000000003e-05
convnext_tiny.fb_in22k_ft_in1k,0,13,0.3597596066779104,0.9989870689655173,0.3572842211147835,0.9995258620689655,3.5721239031346066e-05
convnext_tiny.fb_in22k_ft_in1k,0,14,0.35778946648383964,0.9994612068965517,0.35636848864884213,0.9999137931034483,2.3395555688102214e-05
convnext_tiny.fb_in22k_ft_in1k,0,15,0.3569755255764928,0.9996551724137931,0.35554459756818313,0.9999137931034483,1.3397459621556154e-05
convnext_tiny.fb_in22k_ft_in1k,0,16,0.35624351423362205,0.9998275862068966,0.35522331299452947,1.0,6.03073792140917e-06
convnext_tiny.fb_in22k_ft_in1k,0,17,0.35574722984741475,0.9999137931034483,0.3550476057365023,1.0,1.5192246987791983e-06
convnext_tiny.fb_in22k_ft_in1k,0,18,0.35587395302180586,0.9998275862068966,0.3550115112600655,1.0,0.0
